,adaptability,affection_level,alt_names,bidability,cat_friendly,cfa_url,child_friendly,country_code,country_codes,description,dog_friendly,energy_level,experimental,grooming,hairless,health_issues,hypoallergenic,id,indoor,intelligence,lap,life_span,name,natural,origin,rare,rex,shedding_level,short_legs,social_needs,stranger_friendly,suppressed_tail,temperament,vcahospitals_url,vetstreet_url,vocalisation,weight,wikipedia_url
0,5,5,,,,http://cfa.org/Breeds/BreedsAB/Abyssinian.aspx,3,EG,EG,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",4,5,0,1,0,2,0,abys,0,5,1.0,14 - 15,Abyssinian,1,Egypt,0,0,2,0,5,5,0,"Active, Energetic, Independent, Intelligent, Gentle",https://vcahospitals.com/know-your-pet/cat-breeds/abyssinian,http://www.vetstreet.com/cats/abyssinian,1,"{'imperial': '7  -  10', 'metric': '3 - 5'}",https://en.wikipedia.org/wiki/Abyssinian_(cat)
1,5,4,,,,,4,GR,GR,"Native to the Greek islands known as the Cyclades in the Aegean Sea, these are natural cats, meaning they developed without humans getting involved in their breeding. As a breed, Aegean Cats are rare, although they are numerous on their home islands. They are generally friendly toward people and can be excellent cats for families with children.",4,3,0,3,0,1,0,aege,0,3,,9 - 12,Aegean,0,Greece,0,0,3,0,4,4,0,"Affectionate, Social, Intelligent, Playful, Active",,http://www.vetstreet.com/cats/aegean-cat,3,"{'imperial': '7 - 10', 'metric': '3 - 5'}",https://en.wikipedia.org/wiki/Aegean_cat
2,5,5,,,,http://cfa.org/Breeds/BreedsAB/AmericanBobtail.aspx,4,US,US,American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.,5,3,0,1,0,1,0,abob,0,5,1.0,11 - 15,American Bobtail,0,United States,0,0,3,0,3,3,1,"Intelligent, Interactive, Lively, Playful, Sensitive",https://vcahospitals.com/know-your-pet/cat-breeds/american-bobtail,http://www.vetstreet.com/cats/american-bobtail,3,"{'imperial': '7 - 16', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/American_Bobtail
3,5,5,,,,http://cfa.org/Breeds/BreedsAB/AmericanCurl.aspx,4,US,US,"Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.",5,3,0,2,0,1,0,acur,0,3,1.0,12 - 16,American Curl,0,United States,0,0,3,0,3,3,0,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",https://vcahospitals.com/know-your-pet/cat-breeds/american-curl,http://www.vetstreet.com/cats/american-curl,3,"{'imperial': '5 - 10', 'metric': '2 - 5'}",https://en.wikipedia.org/wiki/American_Curl
4,5,5,Domestic Shorthair,,,http://cfa.org/Breeds/BreedsAB/AmericanShorthair.aspx,4,US,US,"The American Shorthair is known for its longevity, robust health, good looks, sweet personality, and amiability with children, dogs, and other pets.",5,3,0,1,0,3,0,asho,0,3,1.0,15 - 17,American Shorthair,1,United States,0,0,3,0,4,3,0,"Active, Curious, Easy Going, Playful, Calm",https://vcahospitals.com/know-your-pet/cat-breeds/american-shorthair,http://www.vetstreet.com/cats/american-shorthair,3,"{'imperial': '8 - 15', 'metric': '4 - 7'}",https://en.wikipedia.org/wiki/American_Shorthair
5,5,5,,,,http://cfa.org/Breeds/BreedsAB/AmericanWirehair.aspx,4,US,US,"The American Wirehair tends to be a calm and tolerant cat who takes life as it comes. His favorite hobby is bird-watching from a sunny windowsill, and his hunting ability will stand you in good stead if insects enter the house.",5,3,0,1,0,3,0,awir,0,3,1.0,14 - 18,American Wirehair,0,United States,0,0,1,0,3,3,0,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",,http://www.vetstreet.com/cats/american-wirehair,3,"{'imperial': '8 - 15', 'metric': '4 - 7'}",https://en.wikipedia.org/wiki/American_Wirehair
6,5,5,Alley cat,,,,4,AE,AE,"Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.",5,4,0,1,0,1,0,amau,0,3,,12 - 14,Arabian Mau,1,United Arab Emirates,0,0,1,0,3,3,0,"Affectionate, Agile, Curious, Independent, Playful, Loyal",,,1,"{'imperial': '8 - 16', 'metric': '4 - 7'}",https://en.wikipedia.org/wiki/Arabian_Mau
7,5,5,Spotted Mist,,,,4,AU,AU,"The Australian Mist thrives on human companionship. Tolerant of even the youngest of children, these friendly felines enjoy playing games and being part of the hustle and bustle of a busy household. They make entertaining companions for people of all ages, and are happy to remain indoors between dusk and dawn or to be wholly indoor pets.",5,4,0,3,0,1,0,amis,0,4,1.0,12 - 16,Australian Mist,0,Australia,0,0,3,0,4,4,0,"Lively, Social, Fun-loving, Relaxed, Affectionate",,,3,"{'imperial': '7 - 15', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/Australian_Mist
8,5,5,Long-haired Siamese,,,http://cfa.org/Breeds/BreedsAB/Balinese.aspx,4,US,US,"Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you’ve served them for dinner. ",5,5,0,3,0,3,1,bali,0,5,,10 - 15,Balinese,0,United States,0,0,3,0,5,5,0,"Affectionate, Intelligent, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/balinese,http://www.vetstreet.com/cats/balinese,5,"{'imperial': '4 - 10', 'metric': '2 - 5'}",https://en.wikipedia.org/wiki/Balinese_(cat)
9,5,5,,,,,4,US,US,"The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds. The Bambino cat has short legs, large upright ears, and is usually hairless. They love to be handled and cuddled up on the laps of their family members.",5,5,1,1,1,1,0,bamb,0,5,1.0,12 - 14,Bambino,0,United States,0,0,1,1,3,3,0,"Affectionate, Lively, Friendly, Intelligent",,,3,"{'imperial': '4 - 9', 'metric': '2 - 4'}",https://en.wikipedia.org/wiki/Bambino_cat
10,5,5,,3.0,4.0,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,4,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",5,5,0,1,0,3,1,beng,0,5,0.0,12 - 15,Bengal,0,United States,0,0,3,0,5,3,0,"Alert, Agile, Energetic, Demanding, Intelligent",https://vcahospitals.com/know-your-pet/cat-breeds/bengal,http://www.vetstreet.com/cats/bengal,5,"{'imperial': '6 - 12', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/Bengal_(cat)
11,5,5,"Sacred Birman, Sacred Cat Of Burma",,,http://cfa.org/Breeds/BreedsAB/Birman.aspx,4,FR,FR,"The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you’re doing. He communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.",5,3,0,2,0,1,0,birm,0,3,1.0,14 - 15,Birman,0,France,0,0,3,0,4,3,0,"Affectionate, Active, Gentle, Social",https://vcahospitals.com/know-your-pet/cat-breeds/birman,http://www.vetstreet.com/cats/birman,1,"{'imperial': '6 - 15', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/Birman
12,5,5,Small black Panther,,,http://cfa.org/Breeds/BreedsAB/Bombay.aspx,4,US,US,"The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.",5,3,0,1,0,3,0,bomb,0,5,1.0,12 - 16,Bombay,0,United States,0,0,3,0,4,4,0,"Affectionate, Dependent, Gentle, Intelligent, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/bombay,http://www.vetstreet.com/cats/bombay,5,"{'imperial': '6 - 11', 'metric': '3 - 5'}",https://en.wikipedia.org/wiki/Bombay_(cat)
13,5,5,,,,,4,GB,GB,"The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.",5,4,0,5,0,1,0,bslo,0,5,,12 - 14,British Longhair,0,United Kingdom,0,0,1,0,3,4,0,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",,,1,"{'imperial': '8 - 18', 'metric': '4 - 8'}",https://en.wikipedia.org/wiki/British_Longhair
14,5,4,"Highlander, Highland Straight, Britannica",,,http://cfa.org/Breeds/BreedsAB/BritishShorthair.aspx,4,GB,GB,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.",5,2,0,2,0,2,0,bsho,0,3,1.0,12 - 17,British Shorthair,1,United Kingdom,0,0,4,0,3,2,0,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",https://vcahospitals.com/know-your-pet/cat-breeds/british-shorthair,http://www.vetstreet.com/cats/british-shorthair,1,"{'imperial': '12 - 20', 'metric': '5 - 9'}",https://en.wikipedia.org/wiki/British_Shorthair
15,5,5,,,,http://cfa.org/Breeds/BreedsAB/Burmese.aspx,4,MM,MM,"Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.",5,4,0,1,0,3,1,bure,0,5,1.0,15 - 16,Burmese,0,Burma,0,0,3,0,5,5,0,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",https://vcahospitals.com/know-your-pet/cat-breeds/burmese,http://www.vetstreet.com/cats/burmese,5,"{'imperial': '6 - 12', 'metric': '3 - 5'}",https://en.wikipedia.org/wiki/Burmese_(cat)
16,5,5,,,,http://cfa.org/Breeds/BreedsAB/Burmilla.aspx,4,GB,GB,"The Burmilla is a fairly placid cat. She tends to be an easy cat to get along with, requiring minimal care. The Burmilla is affectionate and sweet and makes a good companion, the Burmilla is an ideal companion to while away a lonely evening. Loyal, devoted, and affectionate, this cat will stay by its owner, always keeping them company.",4,3,0,3,0,3,0,buri,0,3,1.0,10 - 15,Burmilla,0,United Kingdom,0,0,3,0,4,3,0,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",,http://www.vetstreet.com/cats/burmilla,5,"{'imperial': '6 - 13', 'metric': '3 - 6'}",https://en.wikipedia.org/wiki/Burmilla
17,5,5,Spangle,,,,4,US,US,"Perhaps the only thing about the California spangled cat that isn’t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.",5,5,0,1,0,1,0,cspa,0,5,,10 - 14,California Spangled,0,United States,0,0,1,0,3,4,0,"Affectionate, Curious, Intelligent, Loyal, Social",,,1,"{'imperial': '10 - 15', 'metric': '5 - 7'}",https://en.wikipedia.org/wiki/California_Spangled
18,5,5,"Chantilly, Foreign Longhair",,,,4,US,US,"The Chantilly is a devoted companion and prefers company to being left alone. While the Chantilly is not demanding, she will ""chirp"" and ""talk"" as if having a conversation. This breed is affectionate, with a sweet temperament. It can stay still for extended periods, happily lounging in the lap of its loved one. This quality makes the Tiffany an ideal traveling companion, and an ideal house companion for senior citizens and the physically handicapped.",5,4,0,5,0,1,0,ctif,0,5,1.0,14 - 16,Chantilly-Tiffany,0,United States,0,0,5,0,3,4,0,"Affectionate, Demanding, Interactive, Loyal",,,5,"{'imperial': '7 - 12', 'metric': '3 - 5'}",https://en.wikipedia.org/wiki/Chantilly-Tiffany
19,5,5,,,,http://cfa.org/Breeds/BreedsCJ/Chartreux.aspx,4,FR,FR,"The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you’re not feeling well.",5,2,0,1,0,2,1,char,0,4,1.0,12 - 15,Chartreux,0,France,0,1,3,0,5,5,0,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/chartreux,http://www.vetstreet.com/cats/chartreux,1,"{'imperial': '6 - 15', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/Chartreux
20,5,5,Nile Cat,,,,4,EG,EG,"For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.",5,4,1,3,0,1,0,chau,0,5,,12 - 14,Chausie,0,Egypt,0,0,3,0,3,4,0,"Affectionate, Intelligent, Playful, Social",,,1,"{'imperial': '7 - 15', 'metric': '3 - 7'}",https://en.wikipedia.org/wiki/Chausie
21,5,5, ,,,,4,US,US,"The Cheetoh has a super affectionate nature and real love for their human companions; they are intelligent with the ability to learn quickly. You can expect that a Cheetoh will be a fun-loving kitty who enjoys playing, running, and jumping through every room in your house.",5,4,0,1,0,1,0,chee,0,5,,12 - 14,Cheetoh,0,United States,0,0,1,0,3,4,0,"Affectionate, Gentle, Intelligent, Social",,,5,"{'imperial': '8 - 15', 'metric': '4 - 7'}",https://en.wikipedia.org/wiki/Bengal_cat#Cheetoh
22,3,4,,4.0,3.0,http://cfa.org/Breeds/BreedsCJ/ColorpointShorthair.aspx,4,US,US,"Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner’s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.",4,4,0,2,0,2,0,csho,0,5,1.0,12 - 16,Colorpoint Shorthair,0,United States,0,0,3,0,4,2,0,"Affectionate, Intelligent, Playful, Social",https://vcahospitals.com/know-your-pet/cat-breeds/colorpoint-shorthair,,5,"{'imperial': '4 - 10', 'metric': '2 - 5'}",https://en.wikipedia.org/wiki/Colorpoint_Shorthair
23,5,5,,,2.0,http://cfa.org/Breeds/BreedsCJ/CornishRex.aspx,4,GB,GB,"This is a confident cat who loves people and will follow them around, waiting for any opportunity to sit in a lap or give a kiss. He enjoys being handled, making it easy to take him to the veterinarian or train him for therapy work. The Cornish Rex stay in kitten mode most of their lives and well into their senior years. ",5,5,0,1,0,2,1,crex,0,5,1.0,11 - 14,Cornish Rex,0,United Kingdom,0,1,1,0,5,3,0,"Affectionate, Intelligent, Active, Curious, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/cornish-rex,http://www.vetstreet.com/cats/cornish-rex,1,"{'imperial': '5 - 9', 'metric': '2 - 4'}",https://en.wikipedia.org/wiki/Cornish_Rex
24,5,5,Spangle,,,,4,CA,CA,"The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.",5,5,0,3,0,3,0,cymr,0,5,1.0,8 - 14,Cymric,0,Canada,0,0,5,0,5,3,1,"Gentle, Loyal, Intelligent, Playful",,http://www.vetstreet.com/cats/cymric,3,"{'imperial': '8 - 13', 'metric': '4 - 6'}",https://en.wikipedia.org/wiki/Cymric_(cat)
25,5,5,Cypriot cat,,,,4,CY,CY,"Loving, loyal, social and inquisitive, the Cyprus cat forms strong ties with their families and love nothing more than to be involved in everything that goes on in their surroundings. They are not overly active by nature which makes them the perfect companion for people who would like to share their homes with a laid-back relaxed feline companion. ",5,4,0,3,0,1,0,cypr,0,3,1.0,12 - 15,Cyprus,1,Cyprus,0,0,3,0,3,4,0,"Affectionate, Social",,,3,"{'imperial': '8 - 16', 'metric': '4 - 7'}",https://en.wikipedia.org/wiki/Cyprus_cat
26,5,5,"Pixie cat, Alien cat, Poodle cat",,,http://cfa.org/Breeds/BreedsCJ/DevonRex.aspx,4,GB,GB,"The favourite perch of the Devon Rex is right at head level, on the shoulder of her favorite person. She takes a lively interest in everything that is going on and refuses to be left out of any activity. Count on her to stay as close to you as possible, occasionally communicating his opinions in a quiet voice. She loves people and welcomes the attentions of friends and family alike.",5,5,0,1,0,3,1,drex,0,5,1.0,10 - 15,Devon Rex,0,United Kingdom,0,1,1,0,5,5,0,"Highly interactive, Mischievous, Loyal, Social, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/devon-rex,http://www.vetstreet.com/cats/devon-rex,1,"{'imperial': '5 - 10', 'metric': '2 - 5'}",https://en.wikipedia.org/wiki/Devon_Rex
27,4,4,,,3.0,,3,RU,RU,"Donskoy are affectionate, intelligent, and easy-going. They demand lots of attention and interaction. The Donskoy also gets along well with other pets. It is now thought the same gene that causes degrees of hairlessness in the Donskoy also causes alterations in cat personality, making them calmer the less hair they have.",3,4,0,2,1,3,0,dons,0,3,,12 - 15,Donskoy,0,Russia,1,0,1,0,5,5,0,"Playful, affectionate, loyal, social",,,2,"{'imperial': '10 - 12', 'metric': '5 - 6'}",https://en.wikipedia.org/wiki/Donskoy_(cat)
28,3,3,"Chinese Lia Hua, Lí hua māo (貍花貓), Li Hua",,3.0,,3,CN,CN,"The Dragon Li is loyal, but not particularly affectionate. They are known to be very intelligent, and their natural breed status means that they're very active. She is is gentle with people, and has a reputation as a talented hunter of rats and other vermin.",3,3,0,1,0,1,0,lihu,1,3,,12 - 15,Dragon Li,1,China,0,0,3,0,4,3,0,"Intelligent, Friendly, Gentle, Loving, Loyal",,http://www.vetstreet.com/cats/li-hua,3,"{'imperial': '9 - 12', 'metric': '4 - 6'}",https://en.wikipedia.org/wiki/Dragon_Li
29,2,5,Pharaoh Cat,,,http://cfa.org/Breeds/BreedsCJ/EgyptianMau.aspx,3,EG,EG,"The Egyptian Mau is gentle and reserved. She loves her people and desires attention and affection from them but is wary of others. Early, continuing socialization is essential with this sensitive and sometimes shy cat, especially if you plan to show or travel with her. Otherwise, she can be easily startled by unexpected noises or events.",3,5,0,1,0,3,0,emau,0,4,1.0,18 - 20,Egyptian Mau,1,Egypt,0,0,3,0,4,2,0,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",https://vcahospitals.com/know-your-pet/cat-breeds/egyptian-mau,http://www.vetstreet.com/cats/egyptian-mau,3,"{'imperial': '6 - 14', 'metric': '3 - 6'}",https://en.wikipedia.org/wiki/Egyptian_Mau
30,5,5,,,4.0,http://cfa.org/Breeds/BreedsCJ/EuropeanBurmese.aspx,4,MM,MM,"The European Burmese is a very affectionate, intelligent, and loyal cat. They thrive on companionship and will want to be with you, participating in everything you do. While they might pick a favorite family member, chances are that they will interact with everyone in the home, as well as any visitors that come to call. They are inquisitive and playful, even as adults. ",4,4,0,1,0,4,0,ebur,0,5,1.0,10 - 15,European Burmese,0,Burma,0,0,3,0,5,5,0,"Sweet, Affectionate, Loyal",,,4,"{'imperial': '7 - 14', 'metric': '3 - 6'}",
31,5,5,Exotic,,,http://cfa.org/Breeds/BreedsCJ/Exotic.aspx,3,US,US,"The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don’t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.",3,3,0,2,0,3,0,esho,0,3,1.0,12 - 15,Exotic Shorthair,0,United States,0,0,2,0,4,2,0,"Affectionate, Sweet, Loyal, Quiet, Peaceful",https://vcahospitals.com/know-your-pet/cat-breeds/exotic-shorthair,http://www.vetstreet.com/cats/exotic-shorthair,1,"{'imperial': '7 - 14', 'metric': '3 - 6'}",https://en.wikipedia.org/wiki/Exotic_Shorthair
